sample_id,sample_location,location_group,lat,lon,dist_coast_km,precip_racmo,temp_racmo,ph_mq,ec_uScm,wtpct_c,wtpct_n,cn_ratio,d15n_permil,d13c_vpdb_permil,cl_mgL,na_mgL,so4_mgL,ca_mgL,no3_mgL,po4_mgL
BS-607,Battleship Promontory,Alatna Valley,-76.922417,161.081533,24.3988,66.00752258,-32.56885528564453,7.331,38.1,0.043,0.009,5.028,-11.457,-32.609,5.0,18.415,50.0,12.379999999999999,0.5,0.5
BS-610,Battleship Promontory,Alatna Valley,-76.922133,161.077833,24.49521,66.00752258,-32.56885528564453,7.978,41.4,0.049,0.012,4.218,-10.454,-32.502,184.36,68.756,50.0,6.839,0.5,0.5
BS-618,Battleship Promontory,Alatna Valley,-76.921567,161.080067,24.45263,66.00752258,-32.56885528564453,7.857,37.2,0.046,0.009,5.402,-11.598,-33.842,101.71,34.652,50.0,16.47,0.5,0.5
CB-CMBjA1,The Cloudmaker,Beardmore Glacier,-84.272414,169.320419,63.08309,101.6902008,-21.99672508239746,6.175,48.1,0.069,0.018,3.824,-2.465,-26.751,62.8,48.056,50.0,72.12899999999999,11.46,0.5
CB-iH5,The Cloudmaker,Beardmore Glacier,-84.26257,169.274083,62.78659,101.6902008,-21.99672508239746,6.093,12.6,0.028,0.01,2.815,0.065,-21.506,40.21,49.400999999999996,50.0,81.77799999999999,4.16,0.5
CK-20B,CTAM: Kyffin,Beardmore Glacier,-83.811847,171.946772,10.11664,175.6383057,-23.165746688842773,5.776,15.3,0.04,0.01,4.48,2.81,-22.04,132.89,34.98,50.0,72.2,0.5,0.5
CK1-100B,CTAM: Kyffin,Beardmore Glacier,-83.82078,171.964511,11.06633,175.6383057,-23.165746688842773,6.293,36.0,0.56,0.02,34.45,-3.28,2.28,46.53,7.2,50.0,14.774999999999999,0.5,0.5
CK2-10,CTAM: Kyffin,Beardmore Glacier,-83.821533,171.968083,11.1449,175.6383057,-23.165746688842773,6.291,15.2,,,,,,93.32,28.25,50.0,74.235,11.6,0.5
CK2-100A,CTAM: Kyffin,Beardmore Glacier,-83.820775,171.964582,11.06572,175.6383057,-23.165746688842773,8.478,272.2,1.511,0.018,85.918,-5.344,5.107,113.28,20.483999999999998,50.0,85.58099999999999,0.5,0.5
CK2-100B,CTAM: Kyffin,Beardmore Glacier,-83.81118,171.952737,10.03704,175.6383057,-23.165746688842773,7.485,369.2,0.279,0.014,19.57,-4.667,0.849,5.0,17.399,50.0,81.958,0.5,0.5
CM-2 1,CTAM: Meyers Desert,Beardmore Glacier,-85.162,167.083333,153.9233,14.92010021,-37.49675750732422,7.527,183.8,0.1,0.05,2.1,-0.54,-13.77,431.65,1600.417,1341.49,252.405,387.79,0.5
CM-4,CTAM: Meyers Desert,Beardmore Glacier,-85.171731,167.079235,154.7543,14.92010021,-37.49675750732422,7.459,198.6,0.21,0.07,2.92,2.74,-9.49,223.8,394.28200000000004,469.66,294.948,163.93,0.5
CM-PA 3-10,CTAM: Meyers Desert,Beardmore Glacier,-85.17185,167.079833,154.7558,14.92010021,-37.49675750732422,8.143,139.6,0.17,0.04,4.1,3.25,-10.51,259.32,1497.5,1799.45,249.355,314.35,0.5
CM-PA 30,CTAM: Meyers Desert,Beardmore Glacier,-85.171731,167.079235,154.7543,14.92010021,-37.49675750732422,7.954,242.4,0.22,0.04,5.04,3.07,-8.22,96.45,135.37,50.0,57.165,0.5,0.5
CM2 (OM),CTAM: Meyers Desert,Beardmore Glacier,-85.161882,167.083086,153.9131,14.92010021,-37.49675750732422,7.418,153.0,0.23,0.08,2.88,2.43,-8.5,391.2,372.57000000000005,50.0,435.6,89.71,0.5
CR-0819,Cape Royds (2007-08),Cape Royds,-77.551,166.163,0.4662,57.29881,-14.52534,6.185,1992.9,1.469,0.412,3.567,25.504,-28.068,175.52,194.43599999999998,50.0,24.332,264.27,258.98
CR-0821,Cape Royds (2007-08),Cape Royds,-77.551,166.163,0.4662,57.29881,-14.52534,6.86,3383.5,1.356,0.542,2.503,27.434,-27.856,185.02,247.75,50.0,70.88,409.74,638.37
CR-0826,Cape Royds (2007-08),Cape Royds,-77.551,166.163,0.4662,57.29881,-14.52534,7.597,3573.3,0.692,0.361,1.917,31.707,-27.775,1035.61,877.492,536.92,23.503,229.3,850.3
CR-0828,Cape Royds (2007-08),Cape Royds,-77.551,166.163,0.4662,57.29881,-14.52534,7.16,4156.1,0.883,0.443,1.994,33.081,-27.324,942.72,622.5,1625.38,22.305,364.03,598.12
